kode,judul,url,date
SAME,Amazon Rambah Bisnis Belanja Grocery Kirim Same Day di 2.300 Kota,https://www.bloombergtechnoz.com/detail-news/80636/amazon-rambah-bisnis-belanja-grocery-kirim-same-day-di-2-300-kota,
SAME,KAI Uji Coba Akses Baru Stasiun Tanjung Barat-Kawasan Hunian TOD,https://www.bloombergtechnoz.com/detail-news/71078/kai-uji-coba-akses-baru-stasiun-tanjung-barat-kawasan-hunian-tod,
SAME,"Perbesar Porsi Kepemilikan, Emtek Borong 64 Juta Saham SAME",https://www.bloombergtechnoz.com/detail-news/17727/perbesar-porsi-kepemilikan-emtek-borong-64-juta-saham-same,
CDIA,"CDIA Resmikan Kapal Boreas, Perkuat Logistik Kimia",https://www.bloombergtechnoz.com/detail-news/105239/cdia-resmikan-kapal-boreas-perkuat-logistik-kimia,
CDIA,"Melesat Hampir Tiga Kali Lipat, CDIA Raup Laba Rp2 T di 2025",https://www.bloombergtechnoz.com/detail-news/103925/melesat-hampir-tiga-kali-lipat-cdia-raup-laba-rp2-t-di-2025,
CDIA,"CDIA Serap Rp1,21 Triliun Dana IPO hingga Akhir 2025",https://www.bloombergtechnoz.com/detail-news/96297/cdia-serap-rp1-21-triliun-dana-ipo-hingga-akhir-2025,
CDIA,"Daftar Emiten Pembagi Dividen Interim 2026, CDIA hingga BMRI",https://www.bloombergtechnoz.com/detail-news/95800/daftar-emiten-pembagi-dividen-interim-2026-cdia-hingga-bmri,
CDIA,CDIA Peroleh Fasilitas Pinjaman hingga Rp3 T dari Bangkok Bank,https://www.bloombergtechnoz.com/detail-news/94977/cdia-peroleh-fasilitas-pinjaman-hingga-rp3-t-dari-bangkok-bank,
CDIA,"Baru 6 Bulan Listing, CDIA Tebar Dividen Interim Rp167,67 Miliar",https://www.bloombergtechnoz.com/detail-news/94968/baru-6-bulan-listing-cdia-tebar-dividen-interim-rp167-67-miliar,
CDIA,"CDIA Setor Rp1,6 T ke Entitas Afiliasi Dukung Investasi SPBU Esso",https://www.bloombergtechnoz.com/detail-news/94277/cdia-setor-rp1-6-t-ke-entitas-afiliasi-dukung-investasi-spbu-esso,
CDIA,"Investor Asing Borong Saham CDIA, CUAN Dkk Kala IHSG Cetak Rekor",https://www.bloombergtechnoz.com/detail-news/92256/investor-asing-borong-saham-cdia-cuan-dkk-kala-ihsg-cetak-rekor,
CDIA,Investor Asing Borong Saham BBCA - CDIA Kala IHSG Cetak Rekor,https://www.bloombergtechnoz.com/detail-news/89801/investor-asing-borong-saham-bbca-cdia-kala-ihsg-cetak-rekor,
CDIA,"Bangun Gudang, CDIA Akuisisi Lahan Rp240 M",https://www.bloombergtechnoz.com/detail-news/89218/bangun-gudang-cdia-akuisisi-lahan-rp240-m,
CDIA,"Laba CDIA Naik 269% ke Rp1,3 T Kuartal III-2025, Margin Menebal",https://www.bloombergtechnoz.com/detail-news/88854/laba-cdia-naik-269-ke-rp1-3-t-kuartal-iii-2025-margin-menebal,
CDIA,"Saham CDIA Melesat 9,4% Dorong IHSG ke Zona Hijau",https://www.bloombergtechnoz.com/detail-news/86766/saham-cdia-melesat-9-4-dorong-ihsg-ke-zona-hijau,
CDIA,"Nilai Transaksi Saham CDIA Sentuh Rp2 T, Jauh Kalahkan BUMI",https://www.bloombergtechnoz.com/detail-news/86301/nilai-transaksi-saham-cdia-sentuh-rp2-t-jauh-kalahkan-bumi,
CDIA,CDIA Kucurkan Dana Segar Triliunan ke Anak Usaha,https://www.bloombergtechnoz.com/detail-news/86167/cdia-kucurkan-dana-segar-triliunan-ke-anak-usaha,
CDIA,"Di Balik Kuatnya Harga Saham, Berhembus Isu Antara CDIA & Exxon",https://www.bloombergtechnoz.com/detail-news/85092/di-balik-kuatnya-harga-saham-berhembus-isu-antara-cdia-exxon,
CDIA,"Investor Asing Borong Saham Saat IHSG Merah, CDIA Jadi Incaran",https://www.bloombergtechnoz.com/detail-news/84828/investor-asing-borong-saham-saat-ihsg-merah-cdia-jadi-incaran,
CDIA,"Laba CDIA Melesat, Capai Rp1 T di Paruh Pertama 2025",https://www.bloombergtechnoz.com/detail-news/84090/laba-cdia-melesat-capai-rp1-t-di-paruh-pertama-2025,
CDIA,Respons TOBA Soal Isu Kongsi Pengelolaan Sampah dengan CDIA,https://www.bloombergtechnoz.com/detail-news/83790/respons-toba-soal-isu-kongsi-pengelolaan-sampah-dengan-cdia,
CDIA,"Bahlil Kurangi Volume HGBT Buat POWR, KIJA, dan Anak Usaha CDIA",https://www.bloombergtechnoz.com/detail-news/83630/bahlil-kurangi-volume-hgbt-buat-powr-kija-dan-anak-usaha-cdia,
CDIA,Investor Asing Diam-diam Akumulasi Saham ANTM sampai CDIA,https://www.bloombergtechnoz.com/detail-news/79813/investor-asing-diam-diam-akumulasi-saham-antm-sampai-cdia,
EPAC,"Dituding Biang Kenaikan Harga, 10 Pengoplos Beras Diringkus",https://www.bloombergtechnoz.com/detail-news/17306/dituding-biang-kenaikan-harga-10-pengoplos-beras-diringkus,
LINK,BRILink Mekaar Percepat Akses Keuangan Masyarakat,https://www.bloombergtechnoz.com/detail-news/107165/brilink-mekaar-percepat-akses-keuangan-masyarakat,
LINK,Ultra Mikro BRI Dorong Perempuan Naik Kelas,https://www.bloombergtechnoz.com/detail-news/106514/ultra-mikro-bri-dorong-perempuan-naik-kelas,
LINK,LinkUMKM BRI Perluas Pasar UMKM Hingga Luar Negeri,https://www.bloombergtechnoz.com/detail-news/106515/linkumkm-bri-perluas-pasar-umkm-hingga-luar-negeri,
LINK,BRILink Dorong UMKM Perempuan Naik Kelas di Palembang,https://www.bloombergtechnoz.com/detail-news/106420/brilink-dorong-umkm-perempuan-naik-kelas-di-palembang,
LINK,"Rekrutmen Manajer Kopdes: Link Pendaftaran, Syarat dan Info Gaji",https://www.bloombergtechnoz.com/detail-news/106364/rekrutmen-manajer-kopdes-link-pendaftaran-syarat-dan-info-gaji,
LINK,Link dan Cara Daftar Koperasi Merah Putih Terbaru 2026,https://www.bloombergtechnoz.com/detail-news/106328/link-dan-cara-daftar-koperasi-merah-putih-terbaru-2026,
LINK,Naeka Tembus Pasar Global Lewat Dukungan BRI,https://www.bloombergtechnoz.com/detail-news/106230/naeka-tembus-pasar-global-lewat-dukungan-bri,
LINK,Link Tiket Konser Lany Jakarta 2026 & Cara Belinya,https://www.bloombergtechnoz.com/detail-news/105894/link-tiket-konser-lany-jakarta-2026-cara-belinya,
LINK,"UMKM Disabilitas Berkembang, BRI Perkuat Pendampingan",https://www.bloombergtechnoz.com/detail-news/105598/umkm-disabilitas-berkembang-bri-perkuat-pendampingan,
LINK,"Harga Avtur Melambung, Citilink akan Naikkan Harga Tiket",https://www.bloombergtechnoz.com/detail-news/105556/harga-avtur-melambung-citilink-akan-naikkan-harga-tiket,
LINK,LinkUMKM BRI Antar Wastra Nusantara ke Pasar Dunia,https://www.bloombergtechnoz.com/detail-news/105597/linkumkm-bri-antar-wastra-nusantara-ke-pasar-dunia,
LINK,Update Link Resmi Penerima BLT Kesra Rp900.000 April 2026,https://www.bloombergtechnoz.com/detail-news/105510/update-link-resmi-penerima-blt-kesra-rp900-000-april-2026,
LINK,"Dari Warung Sederhana, Siti Julaeha Sukses Jadi Agen BRILink",https://www.bloombergtechnoz.com/detail-news/105406/dari-warung-sederhana-siti-julaeha-sukses-jadi-agen-brilink,
LINK,LinkUMKM BRI Akselerasi Pertumbuhan JJC Rumah Jahit,https://www.bloombergtechnoz.com/detail-news/104999/linkumkm-bri-akselerasi-pertumbuhan-jjc-rumah-jahit,
LINK,Satelit Starlink 34343 dari SpaceX Elon Musk Dilaporkan Meledak,https://www.bloombergtechnoz.com/detail-news/104810/satelit-starlink-34343-dari-spacex-elon-musk-dilaporkan-meledak,
LINK,LinkUMKM BRI Pacu Kapasitas Bisnis Candyco,https://www.bloombergtechnoz.com/detail-news/104593/linkumkm-bri-pacu-kapasitas-bisnis-candyco,
LINK,BRI Ingatkan Risiko Kebocoran Data Akibat Link Palsu,https://www.bloombergtechnoz.com/detail-news/104521/bri-ingatkan-risiko-kebocoran-data-akibat-link-palsu,
LINK,Jadwal & Link Live Streaming MotoGP Amerika Serikat 2026,https://www.bloombergtechnoz.com/detail-news/104411/jadwal-link-live-streaming-motogp-amerika-serikat-2026,
LINK,Jadwal MotoGP Thailand 2026 dan Link Streaming,https://www.bloombergtechnoz.com/detail-news/104397/jadwal-motogp-thailand-2026-dan-link-streaming,
LINK,"BRILink Dorong Inklusi, Agen Tumbuh Pesat di Daerah",https://www.bloombergtechnoz.com/detail-news/104383/brilink-dorong-inklusi-agen-tumbuh-pesat-di-daerah,
BAUT,"Ratusan Baut Bantalan Rel KAI Dicuri, Anjlokan Mengancam",https://www.bloombergtechnoz.com/detail-news/95681/ratusan-baut-bantalan-rel-kai-dicuri-anjlokan-mengancam,
BAUT,"Viral Baut-baut Pesawat Kendur Saat Terbang, Lion Air Buka Suara",https://www.bloombergtechnoz.com/detail-news/88056/viral-baut-baut-pesawat-kendur-saat-terbang-lion-air-buka-suara,
BAUT,"CEO Alaska Air Geram, Banyak Baut Longgar di Boeing 737 Max 9",https://www.bloombergtechnoz.com/detail-news/27748/ceo-alaska-air-geram-banyak-baut-longgar-di-boeing-737-max-9,
BAUT,Boeing Resmi Diselidiki Terkait Keamanan usai Insiden Baut Kendur,https://www.bloombergtechnoz.com/detail-news/26480/boeing-resmi-diselidiki-terkait-keamanan-usai-insiden-baut-kendur,
BAUT,"Insiden Baut Kendur, Alaska Air Batalkan 150 Penerbangan Per Hari",https://www.bloombergtechnoz.com/detail-news/26362/insiden-baut-kendur-alaska-air-batalkan-150-penerbangan-per-hari,
BAUT,Hasil Penyelidikan Boeing: Ada Baut Kendur di Plug Pintu Alaska,https://www.bloombergtechnoz.com/detail-news/26198/hasil-penyelidikan-boeing-ada-baut-kendur-di-plug-pintu-alaska,
BAUT,Jisoo BLACKPINK Buat Agensi di Bawah Perusahaan Kakak,https://www.bloombergtechnoz.com/detail-news/25426/jisoo-blackpink-buat-agensi-di-bawah-perusahaan-kakak,
BUVA,"Alasan IHSG Melemah 1,04% Hingga Sentuh 8.139",https://www.bloombergtechnoz.com/detail-news/100947/alasan-ihsg-melemah-1-04-hingga-sentuh-8-139,
BUVA,"Akuisisi & Lunasi Utang, BUVA Right Issue 3,6 Miliar Unit",https://www.bloombergtechnoz.com/detail-news/63022/akuisisi-lunasi-utang-buva-right-issue-3-6-miliar-unit,
BUVA,Suami Puan Happy Hapsoro Resmi Caplok BUVA Senilai Rp754 M,https://www.bloombergtechnoz.com/detail-news/10229/suami-puan-happy-hapsoro-resmi-caplok-buva-senilai-rp754-m,
